Position,Team,PTS_VAL,PTS_RNK,FG%_VAL,FG%_RNK,FT%_VAL,FT%_RNK,3PM_VAL,3PM_RNK,REB_VAL,REB_RNK,AST_VAL,AST_RNK,STL_VAL,STL_RNK,BLK_VAL,BLK_RNK,TO_VAL,TO_RNK
SG,NO 76,22.7,69,49.7,87,76.5,64,3.2,105,8.0,75,5.2,70,1.7,95,0.3,12,2.0,79
SF,LAL 77,24.9,101,41.1,18,72.7,42,3.0,94,8.2,78,5.9,91,2.1,129,0.4,27,2.5,81
SG,IND 78,25.5,116,50.8,98,84.1,112,3.5,127,6.1,36,5.6,80,1.1,31,0.0,1,1.5,67
PG,SA 79,23.3,81,43.4,31,73.9,47,2.5,66,4.3,2,8.3,136,2.0,117,0.9,84,2.2,111
PG,WAS 80,28.7,141,49.5,85,67.3,19,2.8,81,4.3,4,8.1,133,1.5,73,0.5,42,2.3,98
PF,IND 81,25.6,118,46.8,64,64.5,13,2.4,61,11.0,110,4.1,39,2.2,135,1.5,117,3.7,20
SF,DAL 82,22.3,59,48.5,76,76.1,62,2.3,53,8.2,80,5.9,92,1.3,47,1.0,95,2.6,117
SG,GS 83,24.1,90,50.6,97,87.9,132,4.3,141,5.1,14,4.1,43,1.5,67,0.5,41,2.6,57
SF,MIA 84,24.1,89,45.5,53,80.0,83,4.3,142,11.2,111,4.2,45,1.4,60,0.5,43,2.1,58
PF,PHI 85,28.5,139,60.2,138,62.1,9,3.6,131,13.0,128,4.0,37,1.0,22,0.4,22,2.2,61
C,POR 86,21.1,38,51.5,105,71.4,34,1.0,11,12.3,122,7.5,130,2.0,119,1.8,126,3.8,4
C,IND 87,20.4,23,55.3,127,64.0,12,0.8,9,13.8,134,4.9,59,1.2,41,2.2,142,1.8,146
PF,MIL 88,22.3,61,44.6,44,77.4,68,2.0,42,9.3,99,5.1,65,1.6,88,1.2,104,2.9,122
PG,BOS 89,23.4,83,48.4,75,84.0,111,2.9,90,5.7,26,6.1,100,1.3,48,0.8,70,1.9,93
PG,CHI 90,22.3,60,42.8,25,77.3,67,3.2,108,5.0,11,8.6,140,2.7,144,1.2,107,3.5,36
PF,ATL 91,23.9,87,50.0,91,85.7,122,1.6,29,8.4,86,3.9,31,2.5,142,1.1,100,3.8,11
PG,PHI 92,23.6,86,44.3,39,90.7,138,3.1,99,5.4,21,7.1,123,1.4,56,0.6,51,2.0,86
PF,HOU 93,27.7,136,53.7,118,71.8,36,2.9,87,9.0,94,2.9,9,1.3,44,0.9,87,2.9,90
C,SA 94,22.1,55,40.8,17,85.7,124,2.5,64,11.7,118,5.3,74,0.6,6,2.0,136,1.4,109
PF,NY 95,25.2,108,55.4,130,70.6,30,3.4,120,7.2,56,3.9,34,1.5,68,0.9,89,2.2,73
C,ORL 96,16.1,4,62.0,141,60.0,7,0.7,8,12.2,121,3.1,13,2.2,138,2.0,133,2.0,145
PG,GS 97,25.1,104,54.8,123,79.2,79,2.2,51,6.2,38,9.6,146,3.0,148,0.2,8,3.8,16
PG,POR 98,24.0,88,40.4,14,86.7,128,2.9,86,4.4,5,7.5,131,2.1,130,1.2,105,5.2,31
SG,WAS 99,22.4,66,52.0,107,84.4,114,2.6,70,8.4,88,6.7,116,1.3,52,0.9,86,3.1,24
C,UTA 100,26.4,132,61.6,140,64.9,15,0.5,5,17.1,145,7.3,129,0.9,17,2.5,144,4.8,2
C,MIA 101,26.2,129,52.2,108,76.0,58,1.1,15,14.6,136,2.2,3,0.0,1,2.2,141,2.0,143
C,GS 102,21.5,48,55.0,126,56.5,2,1.5,24,12.9,127,5.6,79,2.0,121,0.8,74,2.3,136
SG,SAC 103,25.9,124,55.4,129,93.9,144,4.5,146,5.2,16,4.9,61,1.4,62,0.2,6,2.0,55
SF,CHI 104,27.7,137,50.3,93,69.7,27,3.4,119,7.9,72,5.0,62,1.6,89,0.8,79,1.3,72
