Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
227.0,Svi Mykhailiuk,28.0,UTA,SF,50.0,41.0,23.1,3.5,7.2,0.478,2.0,4.8,0.408,1.5,2.4,0.615,0.613,0.5,0.6,0.893,0.7,1.8,2.5,1.9,0.5,0.1,0.8,1.3,9.4,
228.0,Micah Potter,27.0,IND,C,44.0,4.0,18.8,3.0,5.8,0.518,1.5,3.4,0.432,1.5,2.4,0.636,0.643,1.9,2.2,0.857,1.1,3.4,4.5,1.5,0.4,0.3,0.9,1.8,9.4,
229.0,Isaac Okoro,25.0,CHI,SG,63.0,62.0,26.9,3.3,7.3,0.46,1.2,3.5,0.33,2.2,3.8,0.58,0.539,1.4,1.8,0.795,1.1,1.7,2.7,1.6,0.7,0.5,0.7,2.6,9.3,
230.0,Gui Santos,23.0,GSW,PF,66.0,29.0,20.5,3.4,6.7,0.505,1.2,3.3,0.352,2.2,3.4,0.653,0.591,1.3,1.8,0.729,1.1,2.8,3.9,2.3,0.9,0.3,1.5,2.0,9.3,
231.0,Jaden Hardy,23.0,2TM,SG,56.0,4.0,15.8,3.2,7.6,0.426,1.8,4.6,0.395,1.4,2.9,0.473,0.546,1.0,1.3,0.753,0.3,1.3,1.5,1.0,0.3,0.1,1.1,1.5,9.2,
231.0,Jaden Hardy,23.0,DAL,SG,34.0,4.0,12.6,2.3,5.7,0.402,1.4,3.6,0.371,0.9,2.1,0.457,0.521,0.9,1.2,0.775,0.3,1.1,1.4,0.9,0.3,0.1,0.8,1.1,6.9,
231.0,Jaden Hardy,23.0,WAS,SG,22.0,0.0,20.6,4.6,10.4,0.445,2.5,6.1,0.418,2.1,4.3,0.484,0.568,1.1,1.5,0.727,0.2,1.5,1.7,1.2,0.3,0.2,1.6,2.0,12.9,
232.0,Isaiah Hartenstein,27.0,OKC,C,46.0,45.0,24.3,3.9,6.3,0.619,0.0,0.2,0.0,3.9,6.2,0.634,0.619,1.3,2.2,0.602,3.2,6.3,9.5,3.6,1.0,0.8,1.8,2.5,9.2,
233.0,Davion Mitchell,27.0,MIA,PG,68.0,68.0,28.5,3.7,7.6,0.481,1.3,3.3,0.391,2.4,4.3,0.549,0.566,0.6,0.9,0.672,0.5,2.2,2.7,6.5,1.0,0.2,1.5,2.6,9.2,
234.0,Cam Whitmore,21.0,WAS,SF,21.0,0.0,16.9,3.7,8.0,0.456,0.8,2.7,0.286,2.9,5.4,0.54,0.503,1.1,1.5,0.742,0.9,1.9,2.8,0.7,0.7,0.4,0.9,1.2,9.2,
