Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
560.0,Max Shulga,23.0,BOS,SG,10.0,0.0,18.0,2.0,8.0,0.25,0.0,2.0,0.0,2.0,6.0,0.333,0.25,4.0,4.0,1.0,4.0,2.0,6.0,4.0,0.0,0.0,4.0,12.0,8.0,
561.0,Jacob Toppin,25.0,ATL,SF,5.0,0.0,17.0,8.5,12.7,0.667,0.0,0.0,,8.5,12.7,0.667,0.667,0.0,0.0,,0.0,2.1,2.1,2.1,0.0,2.1,0.0,2.1,16.9,
562.0,Chris Livingston,22.0,CLE,SF,3.0,0.0,17.0,8.5,14.8,0.571,0.0,6.4,0.0,8.5,8.5,1.0,0.571,2.1,2.1,1.0,0.0,6.4,6.4,2.1,2.1,0.0,0.0,8.5,19.1,
563.0,Mouhamadou Gueye,27.0,CHI,PF,1.0,0.0,17.0,4.2,6.4,0.667,2.1,4.2,0.5,2.1,2.1,1.0,0.833,0.0,0.0,,0.0,6.4,6.4,4.2,0.0,0.0,2.1,4.2,10.6,
564.0,Alex Antetokounmpo,24.0,MIL,SF,5.0,0.0,16.0,2.3,11.3,0.2,0.0,9.0,0.0,2.3,2.3,1.0,0.2,20.3,29.3,0.692,4.5,4.5,9.0,2.3,0.0,2.3,0.0,0.0,24.8,
565.0,Rocco Zikarsky,19.0,MIN,C,4.0,0.0,16.0,6.8,11.3,0.6,0.0,0.0,,6.8,11.3,0.6,0.6,0.0,0.0,,4.5,6.8,11.3,0.0,0.0,6.8,0.0,2.3,13.5,
566.0,Buddy Boeheim,26.0,OKC,SF,4.0,0.0,15.0,4.8,14.4,0.333,4.8,14.4,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,14.4,
567.0,N'Faly Dante,24.0,ATL,C,4.0,0.0,15.0,2.4,9.6,0.25,0.0,0.0,,2.4,9.6,0.25,0.25,2.4,2.4,1.0,7.2,9.6,16.8,0.0,4.8,0.0,2.4,2.4,7.2,
568.0,Olivier Sarr,26.0,CLE,C,3.0,0.0,15.0,2.4,2.4,1.0,2.4,2.4,1.0,0.0,0.0,,1.5,2.4,4.8,0.5,0.0,12.0,12.0,7.2,0.0,4.8,0.0,9.6,9.6,
569.0,Chucky Hepburn,22.0,TOR,PG,2.0,0.0,13.0,0.0,16.6,0.0,0.0,13.8,0.0,0.0,2.8,0.0,0.0,0.0,0.0,,0.0,2.8,2.8,5.5,2.8,0.0,2.8,5.5,0.0,
