Position,Team,PTS_VAL,PTS_RNK,FG%_VAL,FG%_RNK,FT%_VAL,FT%_RNK,3PM_VAL,3PM_RNK,REB_VAL,REB_RNK,AST_VAL,AST_RNK,STL_VAL,STL_RNK,BLK_VAL,BLK_RNK,TO_VAL,TO_RNK
PG,CLE 45,23.1,95,43.6,18,83.8,142,3.2,116,5.5,5,7.8,133,1.6,92,0.4,3,3.4,22
PG,DET 46,23.8,119,44.6,40,79.6,84,3.0,91,5.5,2,7.2,122,2.5,148,0.4,9,3.4,11
SG,MIA 47,22.2,59,44.2,28,79.2,79,3.1,108,7.1,57,5.0,97,1.6,85,0.7,56,2.7,59
SG,MIN 48,22.5,66,45.5,64,78.9,77,3.3,126,6.5,34,5.1,101,1.6,87,0.5,21,2.7,52
SG,DAL 49,22.9,81,43.0,9,80.5,100,3.1,110,6.9,51,5.4,107,1.7,104,0.6,35,2.5,31
C,MIL 50,20.7,19,52.7,125,72.8,35,1.1,18,14.7,130,4.0,32,1.3,20,1.4,114,2.4,139
PF,MIA 51,22.8,74,49.3,114,72.3,27,2.6,57,11.1,113,3.9,27,1.1,2,1.0,90,2.4,129
SF,TOR 52,21.8,44,45.2,60,79.8,88,2.9,83,7.4,63,4.1,40,1.6,73,1.0,95,2.3,87
C,CLE 53,20.6,17,52.5,124,64.6,1,1.2,20,15.2,138,3.9,24,1.4,31,2.0,138,2.4,141
SG,BKN 54,22.6,70,44.3,29,78.0,71,3.4,131,6.2,29,5.3,106,1.6,86,0.7,57,2.6,57
C,PHI 55,22.2,56,55.8,138,74.3,44,1.5,30,14.9,136,4.4,63,1.3,22,2.5,148,3.5,2
PF,BKN 56,20.8,23,49.8,116,72.4,31,1.8,31,10.9,111,3.9,26,1.6,82,1.6,122,2.9,103
SF,PHO 57,21.5,36,45.9,72,81.8,119,2.9,87,7.5,66,4.2,42,1.7,113,0.6,37,2.2,73
PF,LAL 58,22.2,57,46.6,86,77.0,63,2.2,38,10.2,99,3.8,20,1.6,80,1.1,96,2.5,110
PG,TOR 59,23.5,111,43.8,21,81.3,107,3.1,111,5.8,9,7.2,121,2.2,144,0.5,10,3.7,17
SF,SAC 60,22.4,64,45.9,74,79.8,90,3.2,119,7.7,75,4.2,51,1.6,74,0.7,58,2.3,47
SG,SAC 61,23.7,117,44.7,45,81.3,109,3.6,139,6.2,23,5.5,109,1.5,51,0.5,27,2.6,32
PG,NY 62,23.7,115,45.1,56,82.7,131,2.8,71,5.8,10,7.8,131,1.7,96,0.6,34,3.0,8
PF,CHI 63,22.3,62,48.0,106,70.9,18,2.1,36,11.3,114,4.8,92,1.3,13,1.2,103,2.3,108
SF,DET 64,21.1,27,46.5,85,79.4,81,2.6,52,7.8,77,4.2,49,1.7,110,0.7,48,2.3,124
SF,CHI 65,22.4,65,45.1,59,80.4,99,2.5,50,8.7,88,4.0,36,1.6,77,0.7,59,2.3,122
PG,MEM 66,23.1,97,42.5,4,80.2,96,3.1,105,6.1,18,8.1,134,2.2,145,0.6,42,3.5,14
PF,DEN 67,21.9,48,46.7,87,71.2,20,2.5,48,10.4,103,4.3,55,1.6,66,1.3,108,2.0,120
C,DEN 68,21.3,33,54.4,134,71.8,24,0.8,3,14.6,129,4.0,31,1.6,78,1.9,133,2.1,96
SF,LAL 69,22.0,50,47.1,92,81.6,117,2.9,86,7.1,56,4.1,41,1.7,112,0.6,36,2.1,72
PG,LAL 70,23.0,87,41.9,2,83.5,141,3.1,113,5.9,12,8.7,141,2.0,132,0.5,15,3.5,19
PG,LAC 71,23.8,121,42.7,5,81.6,116,3.1,112,5.6,7,8.2,135,2.1,138,0.5,12,3.5,18
PF,IND 72,23.0,93,49.2,111,74.0,41,2.1,35,12.0,120,3.7,9,1.4,36,1.4,112,2.7,107
SG,IND 73,23.8,120,45.2,63,79.8,89,3.4,127,6.6,39,5.1,100,1.5,50,0.5,26,2.9,53
SF,WAS 74,21.8,45,43.9,23,78.0,70,2.7,61,8.8,90,4.7,83,1.8,121,0.9,84,2.1,91
SG,MIL 75,24.6,140,42.3,3,83.1,135,3.7,144,7.5,65,5.5,108,1.4,38,0.4,1,2.5,36
SG,LAL 76,23.9,126,44.5,37,75.0,50,3.8,146,6.7,48,5.9,116,1.6,90,0.5,23,2.6,38
PF,UTA 77,22.5,67,49.1,110,68.7,5,2.7,64,10.2,100,4.0,33,1.6,79,1.7,124,2.0,94
SF,PHI 78,22.0,52,47.8,102,84.2,146,2.8,74,8.0,82,4.3,56,1.4,24,0.7,63,2.3,78
PG,IND 79,24.2,133,44.5,36,82.6,128,2.9,84,5.5,3,8.5,137,1.6,93,0.7,55,3.4,9
C,GS 80,20.9,24,54.6,136,67.7,3,1.0,13,16.5,148,4.4,61,1.3,21,2.1,140,2.8,134
SF,CLE 81,22.3,60,45.5,65,79.4,80,3.0,100,7.7,74,4.2,50,1.7,111,0.8,78,2.5,64
SF,GS 82,22.1,55,47.9,104,78.4,73,2.7,68,8.2,86,4.5,72,1.6,67,0.8,70,2.6,90
SF,CHA 83,21.5,35,45.5,66,79.2,78,3.1,103,7.8,79,4.7,81,1.7,103,0.8,75,2.6,67
PF,CLE 84,22.6,68,46.2,77,75.9,54,2.3,43,11.4,115,4.2,45,1.6,72,1.1,100,2.6,115
PG,MIL 85,23.9,124,45.7,68,77.0,61,2.9,88,6.2,22,8.5,138,1.7,95,0.5,20,2.8,74
PG,DEN 86,23.6,112,43.0,10,81.2,105,3.3,124,5.1,1,8.7,143,2.0,134,0.6,40,3.1,23
C,MEM 87,22.7,72,53.4,129,69.8,9,1.3,29,14.5,128,3.5,4,1.4,33,2.2,143,2.9,150
C,ATL 88,20.9,26,58.4,148,74.8,48,0.9,6,14.0,124,3.9,25,1.6,81,2.1,141,2.9,99
SF,SA 89,22.2,58,46.3,79,81.3,110,3.0,94,8.5,87,4.7,82,1.5,48,0.8,71,2.0,70
SG,MEM 90,24.2,132,43.6,19,79.7,86,3.3,125,6.7,46,5.9,117,1.7,97,0.7,54,3.0,24
PF,POR 91,21.1,31,47.7,100,77.3,64,2.0,33,9.7,91,4.0,38,1.8,117,1.6,123,2.8,105
PF,SA 92,23.0,91,49.3,112,74.2,43,2.4,45,11.0,112,4.0,29,1.5,56,1.1,98,2.4,117
PF,PHO 93,23.0,86,47.7,99,72.9,36,2.8,78,9.9,94,4.5,71,1.5,64,1.0,94,1.8,82
SF,BKN 94,21.7,40,46.3,78,84.7,147,2.8,79,7.7,73,4.4,68,1.5,62,0.9,87,2.4,83
PG,PHO 95,23.0,85,42.8,7,83.1,136,3.0,96,6.2,28,7.7,129,2.0,136,0.6,41,2.5,60
PG,PHI 96,23.3,103,48.1,109,82.9,133,3.0,92,5.9,11,8.8,145,1.6,94,0.5,19,3.9,12
C,BKN 97,22.6,71,61.8,150,69.8,8,1.0,12,15.3,141,4.0,30,1.4,30,2.4,147,2.6,133
